panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
IFLS,IFLS,W1,1993,W2,1997,3.9660554970144006,3.9726027397260273,3.6356164383561644,4.493150684931507,0.14766072267902977,20,10-29,24.417094017094016,26,15,29,4.161185013777371,male,0,585,0.2509603072983355,CIGS_DAY_OEC,0.5641032667893771,0.634670924061229,0.5446135559203782,0.6396696468610041,0.634670924061229,0.6281210857208565,1.147283906461802,1.0122343153012583,1.5269230235651463,1.1066420360211742,fre,dom,smo,oe,NA,1,NA,NA,1,Asia,Indonesia,Multiple,Interview,Adults
IFLS,IFLS,W1,1993,W2,1997,3.969077182403077,3.978082191780822,3.6356164383561644,4.4,0.1370317276625281,20,10-29,23.961871750433275,25,15,29,3.7622678612356943,female,1,1154,0.09702660406885755,CIGS_DAY_OEC,0.287922573146464,0.36221087049976886,0.2387982497895969,0.334860844798519,0.36221087049976886,0.3302409982137028,13.68505404808961,11.788671798747654,20.236368868983334,14.14847362466405,fre,dom,smo,oe,NA,1,NA,NA,1,Asia,Indonesia,Multiple,Interview,Adults
IFLS,IFLS,W1,1993,W2,1997,3.9680606867432866,3.9753424657534246,3.6356164383561644,4.493150684931507,0.14066172023966847,20,10-29,24.115008625646922,25,15,29,3.9057508479608054,all,0.6635997699827487,1739,0.1554152501214182,CIGS_DAY_OEC,0.7093663304756299,0.8098176743718044,0.6962562500090488,0.8071604460361765,0.8098176743718044,0.801587080417462,2.3917125651629347,2.213529023786982,3.1497699007311972,2.655725513284271,fre,dom,smo,oe,NA,1,NA,NA,1,Asia,Indonesia,Multiple,Interview,Adults
IFLS,IFLS,W1,1993,W2,1997,3.9608895386992526,3.9643835616438357,3.5945205479452054,4.471232876712329,0.13331366528376,20,30-49,38.33232261976955,38,30,49,5.345915735511829,male,0,1649,0.20376629647513278,CIGS_DAY_OEC,0.5358221105037435,0.6605530993848995,0.5335155363249579,0.6957631643003883,0.6605530993848995,0.6937390859203195,1.039171590678845,0.9436093157098894,2.4231640597654915,1.3996277821025154,fre,dom,smo,oe,NA,1,NA,NA,1,Asia,Indonesia,Multiple,Interview,Adults
IFLS,IFLS,W1,1993,W2,1997,3.9595153962645133,3.9643835616438357,3.632876712328767,4.471232876712329,0.13306340038650513,20,30-49,37.574457344775354,37,30,49,5.418834882673556,female,1,1981,0.08371877890841817,CIGS_DAY_OEC,0.39842754793716106,0.5396684525069628,0.3584223776332673,0.5995353334390164,0.5396684525069628,0.5983786090225047,10.09150174246363,7.854685600269336,25.537603056283338,11.526080816218386,fre,dom,smo,oe,NA,1,NA,NA,1,Asia,Indonesia,Multiple,Interview,Adults
IFLS,IFLS,W1,1993,W2,1997,3.960139627910488,3.9643835616438357,3.5945205479452054,4.471232876712329,0.1331605481386947,20,30-49,37.91873278236915,37,30,49,5.398300105229654,all,0.5457300275482093,3630,0.1424521615875266,CIGS_DAY_OEC,0.6800845482883032,0.8504413083947792,0.6793144892837188,0.8473259494564632,0.8504413083947792,0.8464493638857541,1.869022175222008,1.7394699792764872,3.461116763555293,2.2742957257751177,fre,dom,smo,oe,NA,1,NA,NA,1,Asia,Indonesia,Multiple,Interview,Adults
IFLS,IFLS,W1,1993,W2,1997,3.96232516222062,3.967123287671233,3.6356164383561644,4.468493150684932,0.13436398498139093,20,50-69,57.23947368421053,56,50,69,5.51060969602892,male,0,760,0.2775665399239544,CIGS_DAY_OEC,0.4431178780861852,0.517636309927886,0.44235736994113,0.5507421221392081,0.517636309927886,0.5507071661465628,0.9645411618837216,0.9645791742833442,1.895130887491838,2.000987296255784,fre,dom,smo,oe,NA,1,NA,NA,1,Asia,Indonesia,Multiple,Interview,Adults
IFLS,IFLS,W1,1993,W2,1997,3.9622116077865903,3.967123287671233,3.6356164383561644,4.3863013698630136,0.12934251407592934,20,50-69,56.0953947368421,55,50,69,5.040636258896853,female,1,912,0.2704,CIGS_DAY_OEC,0.49119934616798083,0.5598194112749009,0.47547032931505623,0.626067541637608,0.5598194112749009,0.621804221541589,4.6736132583426695,4.731466327476654,8.601377056863672,6.6822474990611305,fre,dom,smo,oe,NA,1,NA,NA,1,Asia,Indonesia,Multiple,Interview,Adults
IFLS,IFLS,W1,1993,W2,1997,3.962263223438422,3.967123287671233,3.6356164383561644,4.468493150684932,0.1316090871972349,20,50-69,56.61543062200957,55,50,69,5.28865874909922,all,0.5454545454545454,1672,0.2736750651607298,CIGS_DAY_OEC,0.617896308775736,0.7837031389498984,0.6176608477418035,0.7788754928846958,0.7837031389498984,0.778909164956807,1.6900859921365712,1.7011822279488384,2.6377305388247687,2.6689358353692327,fre,dom,smo,oe,NA,1,NA,NA,1,Asia,Indonesia,Multiple,Interview,Adults
IFLS,IFLS,W1,1993,W2,1997,3.9621784163047113,3.9712328767123286,3.7726027397260276,4.227397260273973,0.10509598760083365,20,70-90,73.39024390243902,72,70,85,3.889701812053304,male,0,82,0.6132075471698113,CIGS_DAY_OEC,0.18256178022892344,0.4847762573153467,0.1670424205782395,0.4778982536773965,0.4847762573153467,0.47947593370142505,1.418976886917435,1.0283992172676792,5.48330883984811,1.4845258568438569,fre,dom,smo,oe,NA,1,NA,NA,1,Asia,Indonesia,Multiple,Interview,Adults
IFLS,IFLS,W1,1993,W2,1997,3.9703684000531982,3.9808219178082194,3.6301369863013697,4.3123287671232875,0.12021157106593895,20,70-90,73.22330097087378,71,70,85,4.02426960571839,female,1,103,0.6888217522658611,CIGS_DAY_OEC,0.30964477513058114,0.46690303663101046,0.3085423197492171,0.3679537785733685,0.46690303663101046,0.3693786831728466,5.138119819511199,5.0788967150522915,5.657312882192013,5.897600038532953,fre,dom,smo,oe,NA,1,NA,NA,1,Asia,Indonesia,Multiple,Interview,Adults
IFLS,IFLS,W1,1993,W2,1997,3.9667382450944095,3.9753424657534246,3.6301369863013697,4.3123287671232875,0.11353280996243516,20,70-90,73.29729729729729,72,70,85,3.955354549496275,all,0.5567567567567567,185,0.6593001841620626,CIGS_DAY_OEC,0.3874818096840261,0.76385074167497,0.3655859200050842,0.7264208786684385,0.76385074167497,0.7267818384144188,2.277066549949673,1.8104007421003732,6.7879522688475475,2.40867944764135,fre,dom,smo,oe,NA,1,NA,NA,1,Asia,Indonesia,Multiple,Interview,Adults
IFLS,IFLS,W1,1993,W2,1997,3.962261075582948,3.967123287671233,3.5945205479452054,4.493150684931507,0.13570822307966218,20,10-90,41.291937581274375,39,15,85,13.255265437007754,male,0,3076,0.25267249757045673,CIGS_DAY_OEC,0.5082838960979764,0.6237094423954439,0.5056804979580851,0.6493047095004804,0.6237094423954439,0.6469871305445735,1.0560247262361593,0.9658464857752765,2.4089163034068015,1.5214952562023585,fre,dom,smo,oe,NA,1,NA,NA,1,Asia,Indonesia,Multiple,Interview,Adults
