panel,sample,wave_id_t1,wave_year_t1,wave_id_t2,wave_year_t2,time_diff_mean,time_diff_median,time_diff_min,time_diff_max,time_diff_sd,year_age_group,age_group,age_mean,age_median,age_min,age_max,age_sd,gender_group,prop_female,n,attrition_rate,varcode,cor_pearson,cor_spearman,icc2_1,cor_pearson_log,cor_spearman_log,icc2_1_log,coeff_var_t1,coeff_var_t2,skewness_t1,skewness_t2,measure_category,general_domain,domain_name,scale_type,scale_length,time_frame,behav_type,behav_paid,item_num,continent,country,language,data_collect_mode,sample_type
SHARE,SHARE_Denmark,W2,2007,W4,2011,4.06435679700236,4.079452054794521,3.5835616438356164,4.668493150684932,0.189188795190369,20,50-69,58.97335701598579,59,50,69,5.509713253326221,male,0,563,0.3233173076923077,ALC_3MO_ORD7A,0.7414212921721176,0.73274439717316,0.7416951569362401,0.7578915900859988,0.73274439717316,0.7581480289180234,0.35179046829876476,0.35391452143795493,-0.3020462509654479,-0.2874228775750859,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Denmark,Danish,Interview,Older Adults
SHARE,SHARE_Denmark,W2,2007,W4,2011,4.049601883561643,4.002739726027397,3.5835616438356164,4.6657534246575345,0.1907316125227761,20,50-69,58.5734375,59,50,69,5.477589630950984,female,1,640,0.30585683297180044,ALC_3MO_ORD7A,0.7449043867679007,0.749946300418377,0.7418305054696277,0.7616686554614401,0.749946300418377,0.7543918557137466,0.38715489528548636,0.4288271268238267,0.19372340434514587,0.13395431068857683,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Denmark,Danish,Interview,Older Adults
SHARE,SHARE_Denmark,W2,2007,W4,2011,4.056507133991505,4.002739726027397,3.5835616438356164,4.668493150684932,0.19007492258457448,20,50-69,58.760598503740646,59,50,69,5.493987968791793,all,0.5320033250207814,1203,0.31413911060433297,ALC_3MO_ORD7A,0.7544120278486479,0.7537685137671133,0.7534521245119636,0.7682077935801273,0.7537685137671133,0.7655213431974321,0.3777563425371985,0.39992910380078656,-0.018179405913948208,-0.06358508790181132,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Denmark,Danish,Interview,Older Adults
SHARE,SHARE_Denmark,W2,2007,W4,2011,4.071777617559881,4.002739726027397,3.750684931506849,4.583561643835616,0.20047951080548007,20,70-90,75.60818713450293,75,70,86,4.313282180054381,male,0,171,0.4483870967741935,ALC_3MO_ORD7A,0.5890593523447172,0.5979240010911062,0.581851723123816,0.5618545334590368,0.5979240010911062,0.5508335074363706,0.3674663823700512,0.4203191900066664,-0.4645401520028267,-0.34842841405086183,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Denmark,Danish,Interview,Older Adults
SHARE,SHARE_Denmark,W2,2007,W4,2011,4.06097372946688,4.0849315068493155,3.750684931506849,4.583561643835616,0.1838281275062969,20,70-90,76.28138528138528,76,70,86,4.260388815033281,female,1,231,0.4253731343283582,ALC_3MO_ORD7A,0.6622462542013936,0.6645513518451981,0.6581081081081033,0.675338698774935,0.6645513518451981,0.669021284447433,0.5066590852240652,0.5532610608378438,0.1836702832157363,0.30655879164649624,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Denmark,Danish,Interview,Older Adults
SHARE,SHARE_Denmark,W2,2007,W4,2011,4.065569413207933,4.0849315068493155,3.750684931506849,4.583561643835616,0.1909188620648913,20,70-90,75.9950248756219,75,70,86,4.290565550428265,all,0.5746268656716418,402,0.4353932584269663,ALC_3MO_ORD7A,0.6547333542772449,0.6508134796270102,0.649180194240537,0.6569245429227774,0.6508134796270102,0.6488746587216825,0.45424073307384455,0.5022987189226761,-0.10383802864364373,0.020516404396846686,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Denmark,Danish,Interview,Older Adults
SHARE,SHARE_Denmark,W2,2007,W4,2011,4.0660856257698486,4.079452054794521,3.5835616438356164,4.668493150684932,0.1917649683471926,20,10-90,62.84877384196185,62,50,86,8.780964614357895,male,0,734,0.3572679509632224,ALC_3MO_ORD7A,0.6968199223142193,0.6935611920232729,0.6961082277441244,0.6993225484697034,0.6935611920232729,0.6980855843212641,0.3559980826419118,0.3698550564350493,-0.3356594697703674,-0.3164319219744463,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Denmark,Danish,Interview,Older Adults
SHARE,SHARE_Denmark,W2,2007,W4,2011,4.052617838101379,4.002739726027397,3.5835616438356164,4.6657534246575345,0.18888718809585017,20,10-90,63.269804822043625,61,50,86,9.381541908585799,female,1,871,0.34214501510574014,ALC_3MO_ORD7A,0.7152872043247918,0.7192898455513924,0.7123503946828146,0.7312579791794301,0.7192898455513924,0.7247578815858519,0.42071622214436033,0.46245968711727126,0.17276315816386117,0.16500184835266082,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Denmark,Danish,Interview,Older Adults
SHARE,SHARE_Denmark,W2,2007,W4,2011,4.058776938505527,4.002739726027397,3.5835616438356164,4.668493150684932,0.19026760978616078,20,10-90,63.07725856697819,62,50,86,9.11140593792446,all,0.5426791277258567,1605,0.34914841849148415,ALC_3MO_ORD7A,0.7212693121510545,0.7195227389120025,0.7194432378792298,0.7306237243069068,0.7195227389120025,0.7266311654864733,0.39810428210797966,0.42633576277344526,-0.05083460344482614,-0.059540913430428714,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Denmark,Danish,Interview,Older Adults
SHARE,SHARE_Denmark,W2,2007,W5,2013,6.1460334441937805,6.167123287671233,5.50958904109589,6.838356164383562,0.21711239461119133,20,50-69,58.72495755517827,58,50,69,5.513656996593686,male,0,589,0.2920673076923077,ALC_3MO_ORD7A,0.6961999927207977,0.6872734736061826,0.6948097843221392,0.7065712315733711,0.6872734736061826,0.7022479143114387,0.34487687870856626,0.37046276985618687,-0.3049655764526333,-0.36445958071800655,fre,dom,alc,ord,7,90,NA,NA,1,Europe,Denmark,Danish,Interview,Older Adults
