row_id,r2_increment,r2_with,r2_without,r2adj_increment,r2adj_with,r2adj_without,x,n_reg_with,supple
1,0.08221608028703989,0.181022156300736,0.09880607601369612,0.07529915815824051,0.16581567113921125,0.09051651298097074,panel,7,age_group;domain_name;gender_group;sample_size;scale_type;time_diff_mean
2,0.08347453454946481,0.16878010021063403,0.08530556566116922,0.07614028805164663,0.15725824021355372,0.08111795216190709,panel,6,domain_name;gender_group;sample_size;scale_type;time_diff_mean
3,0.08275269052808479,0.1798067178396141,0.09705402731152932,0.07578461636875644,0.16513129131984583,0.08934667495108939,panel,6,age_group;domain_name;sample_size;scale_type;time_diff_mean
4,0.08390419474127474,0.16755266647561767,0.08364847173434294,0.07651557535040188,0.15657051167978153,0.08005493632937966,panel,5,domain_name;sample_size;scale_type;time_diff_mean
5,0.08208892232419668,0.18064801979411801,0.09855909746992134,0.07512305432661714,0.16598764639083197,0.09086459206421482,panel,6,age_group;domain_name;gender_group;scale_type;time_diff_mean
6,0.0806135181143481,0.16590664527757437,0.08529312716322628,0.07319673377510694,0.15490277516250273,0.08170604138739579,panel,5,domain_name;gender_group;scale_type;time_diff_mean
7,0.08285896907336873,0.17955736461393232,0.09669839554056359,0.0758447532976424,0.16543053777947025,0.08958578448182786,panel,5,age_group;domain_name;scale_type;time_diff_mean
8,0.08135343472403857,0.16500161410223987,0.0836481793782013,0.0738879716797064,0.15454349325052108,0.08065552157081468,panel,4,domain_name;scale_type;time_diff_mean
9,0.09693054920046704,0.1358690783717993,0.03893852917133226,0.08956546097079321,0.12157174346729571,0.0320062824965025,panel,6,age_group;gender_group;sample_size;scale_type;time_diff_mean
10,0.1006581644108148,0.1269496532349945,0.026291488824179705,0.09284810862999648,0.11659727758165461,0.02374916895165813,panel,5,gender_group;sample_size;scale_type;time_diff_mean
11,0.0973421411202714,0.13450288433107882,0.03716074321080742,0.08991365429161269,0.12076483487601664,0.030851180584403948,panel,5,age_group;sample_size;scale_type;time_diff_mean
12,0.10095806777363209,0.1256121835921624,0.024654115818530296,0.09308099270356296,0.1158264081616599,0.02274541545809694,panel,4,sample_size;scale_type;time_diff_mean
13,0.096515270337417,0.13508732199995785,0.03857205166254086,0.08908681188003842,0.1213585493332906,0.03227173745325218,panel,5,age_group;gender_group;scale_type;time_diff_mean
14,0.09765647328132558,0.12393939075292253,0.026282917471596945,0.08975748954863394,0.1141348941385707,0.024377404589936758,panel,4,gender_group;scale_type;time_diff_mean
15,0.09725179552915977,0.13391472884584812,0.036662933316688344,0.08976374718880853,0.1207488588943969,0.030985111705588375,panel,4,age_group;scale_type;time_diff_mean
16,0.0983270661281171,0.12294635739542897,0.024619291267311865,0.09036660532323004,0.1137142137890651,0.023347608465835057,panel,3,scale_type;time_diff_mean
17,0.08213176334595938,0.18083431467793368,0.0987025513319743,0.07516800416516844,0.16617727458270792,0.09100927041753948,panel,6,age_group;domain_name;gender_group;sample_size;time_diff_mean
18,0.08312521063051788,0.16832289994392577,0.08519768931340789,0.07574067726799238,0.15735090653949202,0.08161022927149963,panel,5,domain_name;gender_group;sample_size;time_diff_mean
19,0.08268586637664206,0.17962240324675363,0.09693653687011157,0.07567089534283533,0.1654966962827904,0.08982580093995507,panel,5,age_group;domain_name;sample_size;time_diff_mean
20,0.08357646529579121,0.16710501311697484,0.08352854782118363,0.07613773743227714,0.1566732367486311,0.08053549931635395,panel,4,domain_name;sample_size;time_diff_mean
21,0.08200998291946046,0.1804850699348044,0.09847508701534394,0.0749977511810841,0.16637421683434406,0.09137646565325996,panel,5,age_group;domain_name;gender_group;time_diff_mean
22,0.08037571188996855,0.16555594965912018,0.08518023776915164,0.0729121882866498,0.15510477170494952,0.08219258341829971,panel,4,domain_name;gender_group;time_diff_mean
23,0.08278778841462062,0.17939318460407813,0.09660539618945752,0.0757268633396907,0.1658159705836295,0.09008910724393882,panel,4,age_group;domain_name;time_diff_mean
24,0.08112573372493169,0.1646528142784031,0.0835270805534714,0.07361331081268141,0.15474751168091383,0.08113420086823242,panel,3,domain_name;time_diff_mean
25,0.09438137771037414,0.13321743354233873,0.03883605583196458,0.08692150844339819,0.11945898010650291,0.03253747166310472,panel,5,age_group;gender_group;sample_size;time_diff_mean
26,0.09734295866686649,0.12356238136718277,0.026219422700316276,0.08943987986187307,0.11375366542461662,0.02431378556274355,panel,4,gender_group;sample_size;time_diff_mean
27,0.09481774285309455,0.13186293280779304,0.037045189954698486,0.08729625097221982,0.11866587230189696,0.03136962132967713,panel,4,age_group;sample_size;time_diff_mean
28,0.09767740968814556,0.12225057223649728,0.024573162548351717,0.08970968497069953,0.11301110457582875,0.023301419605129214,panel,3,sample_size;time_diff_mean
29,0.0940831896623278,0.13257993417931804,0.03849674451699024,0.08656404200823697,0.11939377323161426,0.03282973122337729,panel,4,age_group;gender_group;time_diff_mean
30,0.09468870326956358,0.12090255707956686,0.026213853810003282,0.08670464981685067,0.1116488997856675,0.024944249968816834,panel,3,gender_group;time_diff_mean
31,0.09481836572838542,0.13139882645287687,0.036580460724491455,0.08724076556799099,0.11877714493501912,0.03153637936702813,panel,3,age_group;time_diff_mean
32,0.09536655138181302,0.119911495013491,0.024544943631677994,0.08732265317213261,0.11123212119705594,0.02390946802492333,panel,2,time_diff_mean
33,0.08911290704484212,0.17976461702707017,0.09065170998222805,0.08219872839254871,0.16508843721244526,0.08288970881989655,panel,6,age_group;domain_name;gender_group;sample_size;scale_type
34,0.09124228183352932,0.1681258982487898,0.07688361641526047,0.08388775371149315,0.15715130587740167,0.07326355216590852,panel,5,domain_name;gender_group;sample_size;scale_type
35,0.0894874894690099,0.17856030177905577,0.08907281231004587,0.08251614968638632,0.16441630697525145,0.08190015728886513,panel,5,age_group;domain_name;sample_size;scale_type
36,0.09150462952958051,0.1669172500321425,0.07541262050256199,0.08409005530059332,0.15648312198376457,0.07239306668317125,panel,4,domain_name;sample_size;scale_type
37,0.08933049549791051,0.17920900484302177,0.08987850934511125,0.08236398136577583,0.16507617976084854,0.08271219839507271,panel,5,age_group;domain_name;gender_group;scale_type
38,0.08832483008099122,0.165087097203561,0.07676226712256977,0.08088292597155777,0.1546300470037374,0.07374712103217962,panel,4,domain_name;gender_group;scale_type
39,0.09003050370140075,0.17815950956291746,0.0881290058615167,0.08301030823673705,0.1645618839765991,0.08155157573986205,panel,4,age_group;domain_name;scale_type
40,0.08898548558435751,0.16420921791033147,0.07522373232597396,0.08148948239650733,0.15429865527685727,0.07280917288034994,panel,3,domain_name;scale_type
41,0.11634259284395213,0.13352320038158105,0.017180607537628935,0.10902948690284231,0.11976960038763795,0.010740113484795644,panel,5,age_group;gender_group;sample_size;scale_type
42,0.12260704561836461,0.12527708813183433,0.0026700425134697234,0.11476924197272698,0.11548756245589042,7.183204831634482e-4,panel,4,gender_group;sample_size;scale_type
43,0.11648446449070576,0.13217106771413656,0.015686603223430802,0.1090935423291357,0.11897869134759664,0.009885149018460937,panel,4,age_group;sample_size;scale_type
44,0.1226229812597102,0.12396908882490046,0.001346107565190258,0.11470362918271859,0.11474771081253088,4.4081629812287026e-5,panel,3,sample_size;scale_type
45,0.11690595529305951,0.1323740340046504,0.015468078711590874,0.1095194065047852,0.11918474304768212,0.009665336542896918,panel,4,age_group;gender_group;scale_type
46,0.1202318894087433,0.1219992495724474,0.0017673601637040951,0.1122912529606066,0.11275713641005203,4.658834494454256e-4,panel,3,gender_group;scale_type
47,0.11752917859965238,0.13125883596571056,0.013729657366058174,0.1100691819453048,0.11863512023998113,0.008565938294676334,panel,3,age_group;scale_type
48,0.12076840792154941,0.12104819114102655,2.7978321947712997e-4,0.11275152765494345,0.11238002734557317,-3.7150030937027623e-4,panel,2,scale_type
49,0.08900706310971516,0.17931482583152442,0.09030776272180925,0.08203899111297819,0.16518382283259703,0.08314483171961884,panel,5,age_group;domain_name;gender_group;sample_size
50,0.09088251379753479,0.1673965984317297,0.0765140846341949,0.08347034606808768,0.15696847408776327,0.07349812801967559,panel,4,domain_name;gender_group;sample_size
